# {"t_start": 1755705826.1284919, "env_id": "Office-new-multiple-v0"} 
r,l,t
0.0,2,84.564939
1.0,50,84.587825
0.0,1,84.597615
1.0,57,84.618013
0.0,7,84.628396
0.0,15,84.657839
0.0,9,84.664009
1.0,46,84.684461
0.0,22,84.709632
1.0,84,84.732171
0.0,2,84.757168
1.0,37,84.776637
0.0,58,84.792015
1.0,12,84.803085
0.0,15,84.813668
1.0,15,84.824987
0.0,4,84.837268
1.0,17,84.849318
0.0,14,84.858191
0.0,5,84.886903
0.0,21,84.915134
0.0,22,84.946273
0.0,6,84.95931
1.0,99,85.011502
1.0,9,85.019936
1.0,59,85.042989
0.0,6,85.054275
0.0,21,85.083594
1.0,10,85.092326
0.0,63,85.135342
0.0,43,85.16295
0.0,96,85.210594
1.0,9,85.219068
1.0,106,85.273284
0.0,21,85.28688
1.0,29,85.305112
0.0,32,85.321272
1.0,42,85.340964
0.0,2,85.354338
0.0,15,85.36318
0.0,3,85.371423
0.0,69,85.417531
0.0,30,85.431733
0.0,2,85.444027
0.0,3,85.454945
0.0,16,85.483814
0.0,10,85.496531
1.0,45,85.514049
0.0,29,85.525738
1.0,36,85.536329
0.0,10,85.551912
1.0,45,85.565446
0.0,41,85.595666
0.0,2,85.622702
0.0,19,85.654068
0.0,21,85.683113
0.0,6,85.691238
0.0,60,85.713963
0.0,16,85.724858
1.0,44,85.745007
0.0,1,85.769816
0.0,59,85.792571
0.0,41,85.804763
1.0,107,85.849879
0.0,14,85.879887
0.0,36,85.899033
1.0,40,85.911889
1.0,10,85.923171
0.0,6,85.948376
1.0,41,85.968357
0.0,24,85.979673
0.0,2,86.006659
0.0,9,86.019213
1.0,12,86.030156
0.0,40,86.060555
0.0,8,86.073869
0.0,23,86.085228
1.0,31,86.103816
0.0,65,86.145067
0.0,19,86.156994
1.0,96,86.173247
1.0,42,86.186542
0.0,5,86.196647
0.0,14,86.22446
0.0,68,86.240807
1.0,37,86.259141
0.0,8,86.269495
0.0,36,86.288465
0.0,6,86.31607
1.0,40,86.335325
0.0,2,86.345534
0.0,26,86.36427
0.0,17,86.376297
0.0,19,86.390274
0.0,34,86.416213
1.0,37,86.435718
1.0,16,86.445662
1.0,45,86.463793
0.0,14,86.476878
0.0,80,86.525914
1.0,30,86.533406
1.0,112,86.586803
0.0,48,86.620573
1.0,27,86.637328
0.0,28,86.649785
1.0,21,86.661887
0.0,1,86.672425
1.0,8,86.683173
0.0,13,86.69188
0.0,61,86.71274
0.0,17,86.72595
0.0,27,86.744408
0.0,34,86.752523
1.0,55,86.775563
0.0,10,86.800366
0.0,60,86.841227
0.0,29,86.858147
0.0,2,86.883437
0.0,91,86.9011
1.0,71,86.924936
0.0,34,86.936864
1.0,60,86.9569
0.0,43,86.97247
0.0,9,86.985213
0.0,17,86.998148
1.0,42,87.013284
0.0,23,87.024749
0.0,32,87.04344
0.0,65,87.064827
1.0,27,87.084329
0.0,10,87.092767
1.0,44,87.106145
0.0,27,87.119916
1.0,125,87.176787
0.0,8,87.189633
1.0,110,87.238699
0.0,6,87.247091
1.0,47,87.265898
0.0,32,87.295716
1.0,47,87.315648
0.0,22,87.322682
1.0,23,87.334926
0.0,36,87.347349
1.0,104,87.398193
0.0,55,87.429163
1.0,50,87.452446
0.0,29,87.464247
1.0,17,87.476569
0.0,66,87.490917
1.0,66,87.514111
0.0,25,87.52132
0.0,15,87.536772
0.0,19,87.548111
1.0,31,87.567692
1.0,9,87.578856
1.0,47,87.590137
1.0,43,87.602499
1.0,10,87.611181
0.0,9,87.623783
1.0,112,87.675914
0.0,6,87.684013
0.0,64,87.706981
0.0,30,87.735265
1.0,50,87.757195
0.0,30,87.771342
1.0,53,87.793985
0.0,56,87.824486
1.0,38,87.844004
0.0,7,87.855296
1.0,56,87.878596
0.0,33,87.886244
1.0,46,87.899651
0.0,3,87.907649
1.0,8,87.916187
0.0,10,87.92669
0.0,34,87.959719
0.0,21,87.973812
1.0,30,87.992588
1.0,94,88.01261
1.0,112,88.067073
0.0,15,88.092592
0.0,6,88.119799
0.0,5,88.13219
1.0,103,88.184693
0.0,2,88.212128
1.0,37,88.224927
0.0,6,88.253475
1.0,36,88.267956
0.0,35,88.280942
1.0,65,88.305822
1.0,12,88.317034
1.0,45,88.330785
0.0,20,88.342152
1.0,32,88.362328
0.0,2,88.374994
0.0,74,88.39031
0.0,16,88.415364
0.0,72,88.463142
0.0,30,88.477414
1.0,104,88.530586
0.0,5,88.543129
0.0,66,88.589056
0.0,14,88.599655
1.0,74,88.621399
0.0,5,88.629461
1.0,76,88.655773
0.0,18,88.671608
1.0,7,88.682591
0.0,8,88.697156
1.0,15,88.708272
0.0,11,88.733112
1.0,70,88.756092
0.0,22,88.769712
1.0,17,88.781555
0.0,11,88.794149
1.0,66,88.815187
0.0,3,88.842534
0.0,1,88.848371
0.0,2,88.874697
1.0,10,88.886029
0.0,82,88.922424
1.0,26,88.940949
0.0,2,88.966497
1.0,14,88.978435
0.0,38,89.006952
0.0,4,89.014872
0.0,27,89.028454
0.0,9,89.041394
0.0,8,89.047667
0.0,2,89.076096
0.0,48,89.105921
1.0,36,89.118722
0.0,25,89.132587
0.0,90,89.181348
0.0,167,89.233037
1.0,118,89.28298
1.0,17,89.291951
0.0,9,89.302423
0.0,24,89.316167
0.0,27,89.330133
0.0,8,89.340695
1.0,27,89.360412
0.0,11,89.371295
1.0,38,89.391135
0.0,11,89.403741
1.0,61,89.426956
0.0,91,89.44521
1.0,23,89.456056
1.0,8,89.464834
1.0,39,89.483056
0.0,34,89.50933
0.0,18,89.537647
0.0,69,89.552529
1.0,28,89.572649
0.0,1,89.582866
0.0,6,89.593534
0.0,11,89.601928
1.0,71,89.625697
0.0,38,89.640829
1.0,58,89.665612
0.0,12,89.679253
1.0,19,89.690981
0.0,18,89.704104
0.0,10,89.716836
0.0,9,89.729638
1.0,21,89.74148
0.0,21,89.756091
0.0,31,89.78628
0.0,28,89.797848
0.0,22,89.813752
0.0,2,89.826276
0.0,68,89.869766
0.0,2,89.882334
0.0,24,89.898553
0.0,15,89.92378
0.0,29,89.940308
0.0,29,89.955194
1.0,32,89.966023
0.0,20,89.975825
1.0,40,89.995215
0.0,27,90.006643
1.0,62,90.027379
0.0,17,90.040475
1.0,25,90.053218
0.0,15,90.062625
0.0,9,90.093535
0.0,12,90.104009
1.0,11,90.112723
0.0,12,90.12321
1.0,56,90.146042
0.0,10,90.159831
0.0,21,90.173963
0.0,21,90.189818
1.0,103,90.239637
0.0,8,90.250353
0.0,40,90.268079
0.0,3,90.278221
1.0,35,90.297323
0.0,15,90.322081
1.0,17,90.338619
0.0,20,90.368282
0.0,55,90.38942
0.0,34,90.40343
1.0,29,90.421931
0.0,29,90.433709
1.0,36,90.453397
0.0,21,90.467321
0.0,22,90.5037
0.0,4,90.517046
1.0,40,90.536608
0.0,4,90.549177
0.0,26,90.566345
0.0,14,90.577479
0.0,26,90.591583
0.0,34,90.605684
0.0,2,90.613539
0.0,26,90.642256
1.0,99,90.694267
0.0,11,90.721694
1.0,100,90.773459
0.0,117,90.819054
1.0,15,90.830418
0.0,15,90.84122
1.0,96,90.892904
0.0,13,90.903573
1.0,39,90.922893
1.0,103,90.943749
1.0,40,90.962657
0.0,35,90.993627
1.0,66,91.017899
0.0,2,91.043236
0.0,23,91.060172
0.0,22,91.08662
0.0,8,91.116602
0.0,23,91.128148
0.0,25,91.140008
0.0,2,91.145663
1.0,62,91.16812
0.0,1,91.192462
1.0,37,91.205261
0.0,24,91.233419
0.0,82,91.282937
0.0,45,91.299816
0.0,9,91.308272
0.0,9,91.314379
1.0,11,91.325345
0.0,5,91.350726
0.0,6,91.363994
0.0,1,91.373856
1.0,43,91.387316
0.0,20,91.412382
1.0,12,91.423352
0.0,8,91.431963
1.0,30,91.451179
0.0,108,91.488351
1.0,62,91.511517
0.0,19,91.526741
0.0,50,91.570968
0.0,42,91.583523
1.0,107,91.637586
0.0,30,91.667537
0.0,104,91.717961
0.0,2,91.745559
1.0,18,91.758111
0.0,8,91.768462
1.0,11,91.779577
0.0,33,91.787282
0.0,5,91.797406
0.0,7,91.805637
1.0,38,91.825133
0.0,2,91.83753
0.0,58,91.861335
0.0,10,91.886616
0.0,7,91.899165
0.0,2,91.922996
0.0,12,91.931723
0.0,20,91.942798
0.0,12,91.95652
0.0,2,91.984354
1.0,28,92.002904
0.0,33,92.031891
1.0,14,92.043186
0.0,41,92.063513
0.0,12,92.076569
0.0,14,92.091951
0.0,23,92.107725
0.0,2,92.117505
1.0,9,92.128327
0.0,44,92.143321
0.0,9,92.156969
0.0,31,92.186553
1.0,98,92.23271
0.0,47,92.264166
0.0,60,92.287029
0.0,64,92.30075
0.0,31,92.319347
1.0,19,92.328517
1.0,42,92.348701
0.0,69,92.368338
1.0,52,92.388712
1.0,65,92.400605
1.0,11,92.409252
1.0,10,92.420004
0.0,42,92.437241
0.0,45,92.452627
1.0,39,92.472717
0.0,12,92.481294
1.0,44,92.500944
0.0,7,92.509004
0.0,15,92.52185
0.0,57,92.539658
1.0,62,92.56193
0.0,93,92.596717
0.0,13,92.609628
0.0,32,92.636058
1.0,105,92.691054
0.0,73,92.707692
0.0,9,92.735364
0.0,26,92.749129
1.0,26,92.762245
1.0,63,92.782842
0.0,93,92.830007
0.0,20,92.836887
0.0,102,92.880573
0.0,7,92.890838
0.0,3,92.896485
1.0,97,92.916757
0.0,10,92.929455
0.0,22,92.939172
1.0,52,92.960788
0.0,99,92.996308
1.0,108,93.047278
0.0,2,93.058162
1.0,54,93.078744
0.0,37,93.09299
0.0,2,93.105026
1.0,53,93.113703
1.0,65,93.137242
0.0,119,93.157615
1.0,46,93.178241
0.0,33,93.190114
1.0,103,93.24311
0.0,8,93.253933
0.0,53,93.27474
0.0,25,93.281811
1.0,17,93.291059
0.0,16,93.304184
0.0,21,93.317492
0.0,16,93.324087
0.0,55,93.344422
0.0,1,93.350111
0.0,48,93.391317
0.0,9,93.399635
1.0,99,93.449387
0.0,66,93.465783
1.0,62,93.489348
1.0,109,93.508055
1.0,47,93.521458
0.0,22,93.537146
1.0,18,93.548769
1.0,16,93.558781
0.0,15,93.572152
0.0,27,93.588356
0.0,46,93.627696
0.0,20,93.638944
1.0,58,93.662957
0.0,15,93.676159
1.0,40,93.693528
0.0,8,93.701765
1.0,121,93.754053
0.0,7,93.764951
1.0,29,93.783818
1.0,12,93.792724
1.0,35,93.805603
1.0,49,93.82095
1.0,58,93.843566
0.0,13,93.870105
1.0,44,93.883924
0.0,16,93.890586
1.0,38,93.909743
0.0,15,93.922495
0.0,30,93.962243
0.0,7,93.987649
1.0,110,94.036168
0.0,64,94.057402
1.0,68,94.081516
0.0,7,94.10581
1.0,9,94.116588
0.0,8,94.124834
0.0,8,94.152873
0.0,9,94.164117
1.0,15,94.175404
0.0,38,94.190071
1.0,18,94.197197
0.0,16,94.207876
1.0,7,94.218552
1.0,27,94.22821
1.0,137,94.283
0.0,17,94.30825
0.0,9,94.320872
1.0,15,94.329615
1.0,36,94.342735
0.0,54,94.37423
0.0,44,94.394252
0.0,16,94.405436
1.0,99,94.4585
0.0,4,94.46478
0.0,2,94.477005
0.0,44,94.491789
1.0,102,94.544626
0.0,29,94.56146
1.0,9,94.570213
1.0,14,94.581241
0.0,32,94.600039
0.0,43,94.612342
0.0,25,94.63052
0.0,15,94.643504
1.0,41,94.65714
0.0,51,94.686947
0.0,85,94.735737
0.0,21,94.744866
1.0,89,94.798562
0.0,3,94.825783
1.0,49,94.837555
0.0,28,94.851482
1.0,44,94.872569
0.0,45,94.885386
1.0,58,94.908222
0.0,31,94.922112
1.0,39,94.935343
0.0,48,94.950608
1.0,31,94.968352
0.0,5,94.976429
1.0,74,95.000475
0.0,13,95.013201
1.0,55,95.033766
0.0,79,95.064066
1.0,100,95.109495
0.0,6,95.119848
0.0,65,95.159184
0.0,37,95.176394
0.0,2,95.203912
1.0,28,95.213649
1.0,101,95.2638
0.0,5,95.274845
1.0,10,95.284145
0.0,30,95.29834
1.0,13,95.309551
0.0,6,95.317661
0.0,4,95.329933
0.0,4,95.338006
0.0,2,95.345993
1.0,23,95.358025
1.0,16,95.367827
1.0,27,95.377425
0.0,2,95.389922
0.0,10,95.398414
1.0,38,95.417763
0.0,4,95.425805
1.0,60,95.449112
0.0,9,95.460513
1.0,10,95.471354
0.0,67,95.483587
0.0,23,95.495126
0.0,29,95.52114
1.0,110,95.573964
0.0,5,95.579823
1.0,15,95.591313
0.0,3,95.618395
0.0,57,95.664758
0.0,12,95.677628
1.0,116,95.730741
0.0,20,95.744038
1.0,49,95.767551
0.0,1,95.777365
0.0,16,95.792757
1.0,18,95.799411
1.0,11,95.810329
0.0,18,95.825487
1.0,19,95.836793
0.0,12,95.852894
0.0,10,95.866736
1.0,96,95.887371
1.0,30,95.906306
0.0,50,95.935722
0.0,24,95.967494
1.0,46,95.975928
0.0,37,95.99301
0.0,10,95.999213
1.0,35,96.011882
0.0,31,96.025702
0.0,98,96.073305
0.0,10,96.102742
1.0,35,96.115547
0.0,26,96.144133
0.0,44,96.165193
0.0,11,96.190475
0.0,85,96.237304
0.0,5,96.263043
1.0,66,96.282161
0.0,6,96.292365
1.0,99,96.345591
0.0,35,96.360832
1.0,8,96.371764
0.0,2,96.381668
1.0,58,96.404497
0.0,12,96.417185
0.0,8,96.429931
0.0,1,96.439781
1.0,31,96.459173
0.0,2,96.4675
0.0,5,96.475605
0.0,2,96.48794
0.0,22,96.503682
0.0,7,96.509756
1.0,47,96.522993
0.0,69,96.541387
1.0,102,96.593794
1.0,19,96.603122
1.0,26,96.621506
0.0,60,96.652357
1.0,42,96.666833
0.0,25,96.682744
1.0,107,96.73521
0.0,57,96.748902
1.0,50,96.768171
0.0,7,96.780709
1.0,13,96.792016
0.0,13,96.816888
1.0,116,96.870717
0.0,17,96.881799
1.0,35,96.892322
0.0,27,96.921245
0.0,9,96.934148
0.0,20,96.947637
1.0,40,96.967903
1.0,18,96.977053
1.0,113,97.030592
0.0,9,97.036891
0.0,11,97.049747
0.0,23,97.059745
0.0,68,97.104108
1.0,40,97.119032
1.0,33,97.131485
0.0,27,97.145281
1.0,114,97.200151
0.0,40,97.230093
1.0,45,97.253628
0.0,10,97.269588
1.0,45,97.283065
0.0,28,97.311871
0.0,12,97.340186
1.0,20,97.347285
1.0,10,97.358812
0.0,3,97.369548
0.0,2,97.377557
0.0,60,97.408515
1.0,8,97.419159
0.0,25,97.432684
0.0,44,97.454681
0.0,12,97.468606
1.0,11,97.47741
0.0,24,97.488977
0.0,5,97.501387
0.0,19,97.510283
0.0,40,97.522979
0.0,5,97.533197
0.0,15,97.548605
0.0,22,97.563075
1.0,52,97.583717
0.0,70,97.604808
1.0,30,97.623486
0.0,9,97.635988
1.0,122,97.691569
0.0,25,97.705148
1.0,57,97.727654
0.0,1,97.737649
1.0,49,97.758
0.0,563,97.799061
1.0,109,97.84976
0.0,8,97.875774
0.0,9,97.889136
1.0,55,97.906968
1.0,7,97.917351
0.0,4,97.944814
0.0,54,97.988494
0.0,35,98.000409
1.0,78,98.024812
0.0,15,98.052428
1.0,117,98.10436
0.0,35,98.116363
0.0,64,98.155631
0.0,91,98.176495
0.0,4,98.189116
0.0,17,98.217143
1.0,30,98.235336
0.0,12,98.243884
0.0,6,98.25893
0.0,24,98.266631
0.0,2,98.27454
0.0,10,98.280779
1.0,91,98.330006
0.0,41,98.349641
1.0,47,98.36184
0.0,39,98.376761
0.0,15,98.407605
0.0,198,98.454436
0.0,3,98.467744
0.0,34,98.482107
1.0,23,98.493775
0.0,24,98.509469
1.0,14,98.520574
0.0,23,98.533906
1.0,11,98.544803
0.0,5,98.573318
0.0,41,98.592938
0.0,74,98.609787
1.0,57,98.629993
0.0,16,98.659942
0.0,2,98.668478
0.0,16,98.675092
1.0,94,98.72014
0.0,47,98.732758
1.0,10,98.743786
1.0,26,98.753448
0.0,18,98.783104
0.0,5,98.789109
1.0,36,98.807932
0.0,1,98.817656
1.0,42,98.830397
0.0,13,98.843522
1.0,7,98.854296
0.0,33,98.869626
0.0,7,98.897373
0.0,14,98.907993
1.0,39,98.925075
1.0,13,98.933988
1.0,7,98.944743
0.0,70,98.956952
0.0,12,98.972779
0.0,30,98.999361
1.0,98,99.052103
0.0,5,99.065923
1.0,42,99.07919
0.0,3,99.085047
1.0,60,99.105722
0.0,30,99.11745
0.0,15,99.132506
0.0,41,99.145151
0.0,81,99.193444
0.0,47,99.20838
1.0,92,99.258706
0.0,8,99.267942
1.0,48,99.290184
0.0,33,99.318696
1.0,107,99.369755
0.0,16,99.38301
1.0,102,99.435716
0.0,6,99.444104
1.0,29,99.46146
0.0,5,99.472042
0.0,48,99.509377
0.0,64,99.523043
0.0,40,99.54243
0.0,109,99.576473
0.0,73,99.61511
0.0,11,99.627455
0.0,55,99.645711
0.0,44,99.663666
0.0,82,99.713196
0.0,22,99.728734
1.0,100,99.780499
0.0,23,99.806277
0.0,13,99.821237
1.0,76,99.84209
1.0,30,99.861615
0.0,36,99.870089
1.0,14,99.881764
0.0,48,99.897072
1.0,11,99.90769
1.0,63,99.927341
1.0,78,99.952286
0.0,44,99.968359
1.0,100,100.017701
0.0,25,100.028655
0.0,2,100.05628
0.0,6,100.069858
1.0,6,100.080388
0.0,73,100.097045
1.0,9,100.107829
0.0,20,100.13547
1.0,110,100.187038
0.0,44,100.216444
1.0,38,100.229211
0.0,100,100.266013
1.0,52,100.288822
0.0,50,100.30162
0.0,27,100.332443
0.0,25,100.346477
1.0,19,100.358475
0.0,25,100.371161
1.0,18,100.380507
1.0,49,100.398315
0.0,43,100.440205
0.0,8,100.454022
1.0,39,100.468428
0.0,17,100.477321
0.0,22,100.493296
0.0,8,100.503439
1.0,20,100.512779
0.0,17,100.521603
0.0,2,100.533666
0.0,4,100.545969
0.0,25,100.578277
0.0,38,100.60799
1.0,37,100.627139
0.0,3,100.652636
0.0,29,100.670051
0.0,23,100.679289
0.0,4,100.691743
0.0,60,100.719335
0.0,19,100.730463
0.0,30,100.742286
0.0,9,100.757307
0.0,21,100.769609
1.0,46,100.78963
0.0,2,100.801668
1.0,77,100.823746
0.0,16,100.836815
1.0,8,100.847774
0.0,119,100.888049
0.0,112,100.941149
0.0,5,100.947066
1.0,32,100.964722
0.0,29,100.980808
1.0,96,101.031485
0.0,2,101.039438
0.0,2,101.047526
0.0,4,101.072395
1.0,13,101.081276
0.0,26,101.110517
1.0,32,101.130935
0.0,1,101.140934
1.0,112,101.196735
0.0,1,101.22204
1.0,37,101.236591
0.0,19,101.244379
1.0,35,101.262419
0.0,12,101.276629
1.0,106,101.328434
0.0,2,101.334259
0.0,6,101.343296
0.0,68,101.357903
0.0,40,101.380771
0.0,3,101.390957
1.0,104,101.445307
0.0,22,101.460319
0.0,2,101.469077
1.0,14,101.480901
1.0,103,101.537412
0.0,13,101.54891
0.0,33,101.569849
0.0,21,101.584418
1.0,78,101.611274
0.0,5,101.61763
1.0,45,101.638533
0.0,2,101.647412
1.0,37,101.659222
0.0,19,101.673962
1.0,45,101.68832
0.0,2,101.700774
1.0,28,101.719958
0.0,31,101.736603
1.0,16,101.756194
0.0,9,101.767946
1.0,35,101.789317
0.0,44,101.80292
0.0,11,101.832693
0.0,16,101.846918
1.0,55,101.867119
1.0,16,101.877159
1.0,59,101.899586
0.0,11,101.913695
0.0,42,101.93219
0.0,20,101.960129
1.0,53,101.985206
0.0,35,102.00032
0.0,22,102.02992
1.0,17,102.046653
1.0,31,102.059923
0.0,17,102.071692
0.0,37,102.084712
0.0,12,102.096182
0.0,6,102.10465
0.0,18,102.119642
1.0,12,102.12902
0.0,26,102.146454
0.0,2,102.15533
0.0,23,102.188173
1.0,88,102.243558
0.0,9,102.257772
0.0,16,102.267847
0.0,30,102.302649
1.0,46,102.327494
0.0,44,102.348522
1.0,32,102.367074
0.0,6,102.378461
0.0,19,102.395837
1.0,80,102.416768
1.0,9,102.47611
0.0,15,102.519251
0.0,6,102.585036
0.0,28,102.709821
0.0,91,102.813499
0.0,16,102.83917
1.0,45,102.885099
0.0,34,102.94338
1.0,61,102.984107
0.0,10,103.010791
1.0,122,103.115355
0.0,26,103.153509
1.0,37,103.221127
0.0,17,103.360547
0.0,56,103.572176
0.0,3,103.719606
1.0,47,103.815327
0.0,32,103.889382
0.0,86,104.108222
0.0,50,104.25974
1.0,30,104.338704
0.0,16,104.366213
0.0,2,104.412255
0.0,18,104.461845
1.0,37,104.534675
0.0,24,104.644547
0.0,2,104.734205
0.0,42,104.831563
1.0,96,104.965144
0.0,12,104.998358
0.0,18,105.072159
0.0,6,105.102683
1.0,65,105.160188
1.0,38,105.189765
0.0,34,105.228392
0.0,36,105.261565
0.0,2,105.322157
0.0,61,105.366566
1.0,11,105.389595
0.0,10,105.44778
0.0,41,105.523267
0.0,16,105.549345
1.0,19,105.570989
0.0,26,105.59304
1.0,29,105.623311
0.0,37,105.670581
1.0,39,105.700894
0.0,10,105.724209
1.0,90,105.800408
1.0,29,105.814998
0.0,2,105.833316
0.0,16,105.849697
0.0,72,105.916887
0.0,16,105.929782
1.0,74,105.964838
0.0,4,106.003727
1.0,107,106.074701
0.0,26,106.093223
1.0,97,106.164501
0.0,12,106.178737
0.0,12,106.190345
0.0,23,106.225173
1.0,72,106.25691
0.0,11,106.289125
0.0,65,106.344646
0.0,23,106.362074
1.0,33,106.385234
0.0,3,106.397573
0.0,62,106.422988
0.0,23,106.437028
0.0,59,106.488122
0.0,22,106.499021
1.0,72,106.524532
0.0,9,106.537041
1.0,14,106.550185
0.0,4,106.578811
1.0,117,106.626718
0.0,43,106.643883
1.0,100,106.698849
0.0,25,106.711613
1.0,44,106.73289
0.0,13,106.742399
1.0,114,106.796923
0.0,74,106.814619
0.0,2,106.827325
0.0,77,106.862866
1.0,62,106.886671
0.0,46,106.901882
1.0,96,106.950416
0.0,4,106.962851
1.0,19,106.974182
0.0,4,106.986487
0.0,9,106.994831
1.0,26,107.004409
1.0,44,107.021991
1.0,37,107.034285
0.0,35,107.053071
0.0,2,107.06518
1.0,71,107.087468
0.0,2,107.11044
1.0,28,107.127714
0.0,47,107.143808
1.0,113,107.188773
0.0,92,107.216487
1.0,40,107.234455
0.0,12,107.246377
1.0,34,107.256402
0.0,21,107.267265
1.0,47,107.285953
0.0,96,107.317798
0.0,45,107.334402
0.0,41,107.347996
1.0,13,107.358759
0.0,6,107.383463
0.0,97,107.427738
1.0,14,107.436118
0.0,1,107.458614
0.0,21,107.472892
0.0,6,107.484454
0.0,5,107.494224
1.0,21,107.503323
0.0,16,107.509655
1.0,48,107.522608
0.0,27,107.548558
1.0,20,107.559457
0.0,1,107.582167
1.0,43,107.594372
0.0,38,107.610368
1.0,73,107.633141
0.0,4,107.645639
1.0,62,107.665128
0.0,17,107.671628
1.0,62,107.692717
0.0,13,107.701056
1.0,7,107.711002
0.0,36,107.735237
0.0,5,107.746943
0.0,4,107.75643
1.0,42,107.76872
0.0,32,107.780552
1.0,11,107.791552
0.0,10,107.801455
0.0,31,107.818625
0.0,1,107.823979
1.0,128,107.86993
0.0,47,107.887233
1.0,46,107.9044
0.0,20,107.916885
1.0,110,107.965664
0.0,54,107.980095
1.0,10,107.990361
0.0,10,108.013231
1.0,92,108.060909
0.0,17,108.073911
1.0,75,108.094323
0.0,6,108.102022
1.0,36,108.119599
0.0,7,108.131377
1.0,12,108.141746
0.0,29,108.154575
0.0,42,108.189488
0.0,8,108.19741
0.0,36,108.215485
0.0,28,108.241555
1.0,36,108.253455
0.0,88,108.268286
0.0,98,108.312723
0.0,22,108.323232
1.0,91,108.371744
0.0,4,108.383903
0.0,52,108.404831
0.0,15,108.411339
1.0,38,108.423214
1.0,55,108.433682
1.0,51,108.454273
0.0,67,108.469258
1.0,95,108.51466
0.0,34,108.525985
0.0,2,108.533458
0.0,82,108.560553
1.0,20,108.572209
0.0,34,108.58349
0.0,2,108.594843
0.0,74,108.612376
0.0,1,108.634421
0.0,22,108.649232
1.0,54,108.670538
0.0,36,108.684073
1.0,7,108.694122
0.0,13,108.717337
1.0,46,108.733825
0.0,16,108.757044
1.0,62,108.778592
0.0,18,108.785041
1.0,35,108.802613
0.0,13,108.808706
1.0,49,108.821579
0.0,5,108.845229
1.0,22,108.862583
1.0,82,108.875493
1.0,19,108.886661
0.0,10,108.912305
0.0,6,108.937969
0.0,35,108.951197
1.0,101,108.997694
0.0,31,109.010755
1.0,19,109.021538
0.0,6,109.033387
1.0,51,109.053664
0.0,37,109.081019
1.0,42,109.093493
0.0,7,109.119168
1.0,17,109.127909
1.0,22,109.138801
1.0,12,109.148873
0.0,27,109.155726
1.0,56,109.177088
0.0,10,109.191002
1.0,48,109.209523
0.0,11,109.215467
1.0,39,109.23152
0.0,17,109.255071
0.0,15,109.26967
0.0,8,109.28141
0.0,97,109.329032
1.0,21,109.337899
0.0,86,109.379476
0.0,69,109.395383
0.0,34,109.40883
0.0,10,109.4195
1.0,31,109.437414
0.0,23,109.447938
0.0,15,109.458424
0.0,14,109.468895
1.0,58,109.490085
0.0,10,109.502244
1.0,16,109.512852
0.0,7,109.538426
1.0,28,109.555624
0.0,150,109.594606
0.0,65,109.616536
0.0,91,109.630935
1.0,47,109.650322
0.0,12,109.674026
0.0,14,109.688264
0.0,26,109.699065
0.0,68,109.738279
0.0,77,109.753712
1.0,124,109.803425
0.0,10,109.818044
0.0,19,109.832824
0.0,24,109.86034
1.0,20,109.872175
0.0,8,109.885134
1.0,48,109.900924
0.0,38,109.914702
0.0,7,109.926485
0.0,19,109.938953
1.0,41,109.953132
0.0,18,109.961603
1.0,19,109.973307
0.0,13,109.987324
1.0,38,110.005192
0.0,1,110.010665
1.0,49,110.031218
0.0,40,110.046597
1.0,31,110.06416
0.0,9,110.073972
1.0,58,110.095087
0.0,2,110.121002
0.0,10,110.128964
0.0,38,110.138638
1.0,97,110.181152
0.0,28,110.190412
1.0,28,110.207338
1.0,18,110.215946
0.0,6,110.227672
0.0,64,110.256686
1.0,22,110.267997
0.0,33,110.279309
1.0,18,110.289988
0.0,29,110.302989
1.0,45,110.319264
0.0,41,110.334988
1.0,50,110.355306
0.0,21,110.364011
0.0,32,110.380112
0.0,4,110.390408
0.0,12,110.405446
0.0,69,110.439369
1.0,58,110.458425
0.0,36,110.47012
0.0,70,110.510046
0.0,11,110.535947
1.0,52,110.554754
0.0,51,110.586267
0.0,46,110.607431
0.0,23,110.616323
0.0,43,110.632782
0.0,16,110.646073
0.0,19,110.674788
1.0,61,110.689796
0.0,50,110.724735
0.0,33,110.734005
1.0,38,110.745916
1.0,55,110.762675
1.0,60,110.784263
0.0,95,110.800912
1.0,96,110.846811
0.0,19,110.873953
1.0,51,110.896118
0.0,8,110.923393
0.0,12,110.937475
0.0,14,110.949641
0.0,14,110.959707
0.0,10,110.968074
0.0,30,110.979843
0.0,13,110.990608
1.0,108,111.036738
0.0,6,111.048501
1.0,18,111.059121
1.0,63,111.078097
1.0,56,111.097114
0.0,5,111.106886
0.0,38,111.13635
1.0,69,111.155967
1.0,33,111.1746
0.0,48,111.18345
0.0,27,111.19874
0.0,10,111.208822
0.0,23,111.2216
0.0,25,111.248515
0.0,6,111.260297
0.0,10,111.270262
1.0,48,111.288437
0.0,18,111.298707
1.0,102,111.346077
1.0,7,111.354055
0.0,8,111.362418
0.0,30,111.376572
0.0,8,111.385082
0.0,6,111.412453
0.0,67,111.454556
0.0,21,111.463654
0.0,29,111.481508
0.0,8,111.493356
0.0,11,111.501431
0.0,29,111.525527
1.0,29,111.542682
0.0,3,111.554239
0.0,2,111.563574
0.0,5,111.573029
1.0,29,111.590196
0.0,95,111.608891
0.0,59,111.648321
1.0,43,111.658185
0.0,65,111.698285
0.0,3,111.710037
1.0,68,111.73177
