# {"t_start": 1755705826.1284919, "env_id": "Office-new-multiple-v0"} 
r,l,t
1.0,70,5.45146
0.0,11,5.458081
1.0,11,5.467196
0.0,19,5.476489
0.0,2,5.487309
0.0,6,5.493454
0.0,2,5.505671
0.0,70,5.537226
1.0,99,5.589892
0.0,2,5.600423
0.0,13,5.615846
0.0,10,5.626646
0.0,65,5.670966
0.0,38,5.686059
1.0,69,5.710331
0.0,4,5.72077
1.0,45,5.740809
0.0,19,5.769742
1.0,19,5.781669
0.0,3,5.809968
0.0,11,5.825265
0.0,4,5.831297
0.0,10,5.846492
0.0,37,5.861415
1.0,10,5.872706
1.0,31,5.885216
1.0,43,5.902931
0.0,34,5.913613
0.0,65,5.937297
0.0,6,5.962726
0.0,36,6.001496
0.0,5,6.010073
0.0,33,6.027045
0.0,8,6.035555
1.0,112,6.08629
0.0,35,6.115964
0.0,45,6.137936
0.0,15,6.146934
1.0,21,6.15897
0.0,26,6.188694
1.0,15,6.200226
0.0,1,6.210482
0.0,5,6.222772
0.0,39,6.254579
1.0,29,6.273605
1.0,26,6.285619
0.0,11,6.298697
0.0,55,6.329854
1.0,18,6.341504
1.0,30,6.354062
1.0,67,6.375789
0.0,66,6.389388
0.0,9,6.416837
0.0,41,6.449311
1.0,57,6.47315
0.0,11,6.47976
1.0,39,6.501266
0.0,8,6.515012
1.0,9,6.525977
0.0,22,6.539356
0.0,18,6.550651
0.0,29,6.583394
0.0,1,6.594203
0.0,115,6.637764
0.0,12,6.653481
0.0,6,6.664217
0.0,32,6.677618
0.0,30,6.693007
1.0,54,6.71682
0.0,16,6.727725
0.0,2,6.735726
0.0,4,6.763472
1.0,12,6.775382
0.0,41,6.784364
1.0,43,6.805504
0.0,31,6.822385
1.0,109,6.875314
1.0,25,6.888145
0.0,8,6.904644
0.0,30,6.919512
0.0,55,6.966157
0.0,10,6.993639
1.0,95,7.045948
0.0,11,7.059435
0.0,15,7.071428
0.0,5,7.085119
0.0,88,7.133076
0.0,3,7.141132
1.0,45,7.154771
0.0,1,7.165156
1.0,103,7.223201
1.0,17,7.234897
1.0,115,7.287289
0.0,13,7.301604
0.0,69,7.345086
0.0,23,7.359196
1.0,44,7.381284
0.0,2,7.394798
0.0,55,7.43915
0.0,242,7.45988
1.0,80,7.486647
0.0,164,7.531096
1.0,20,7.543009
0.0,4,7.562212
1.0,38,7.576334
0.0,9,7.613334
0.0,27,7.656255
0.0,2,7.684822
0.0,2,7.698717
0.0,3,7.711427
1.0,18,7.727799
0.0,18,7.746696
1.0,102,7.819103
0.0,20,7.83746
1.0,64,7.866881
0.0,2,7.875168
1.0,13,7.890888
0.0,8,7.899221
1.0,116,7.96808
0.0,34,8.002807
1.0,43,8.028113
0.0,29,8.042789
1.0,16,8.054541
0.0,2,8.066823
1.0,42,8.088753
0.0,21,8.097548
1.0,36,8.113021
0.0,25,8.126811
1.0,64,8.155381
0.0,25,8.164137
1.0,61,8.189446
1.0,46,8.205014
1.0,58,8.232107
0.0,13,8.244613
1.0,16,8.265697
0.0,31,8.282169
0.0,81,8.329815
0.0,7,8.34379
1.0,56,8.366797
0.0,19,8.384207
1.0,31,8.405326
0.0,36,8.41665
1.0,58,8.436978
0.0,24,8.449425
1.0,92,8.506994
0.0,18,8.537921
1.0,59,8.5631
0.0,26,8.578424
1.0,108,8.637973
0.0,2,8.646729
1.0,41,8.663229
0.0,79,8.682608
1.0,101,8.740523
0.0,38,8.75394
1.0,34,8.775128
0.0,33,8.786343
1.0,10,8.798604
1.0,16,8.811005
1.0,49,8.833223
0.0,3,8.839719
1.0,109,8.898904
0.0,17,8.911548
0.0,6,8.942314
0.0,13,8.9698
0.0,64,9.018662
0.0,7,9.02781
0.0,32,9.043667
0.0,11,9.055522
0.0,4,9.069505
0.0,5,9.085953
1.0,108,9.234194
0.0,15,9.383585
1.0,31,9.460929
0.0,15,9.597768
1.0,20,9.652128
0.0,16,9.77373
0.0,8,9.883622
0.0,8,9.932638
1.0,39,9.98316
0.0,62,10.102766
1.0,39,10.166565
0.0,38,10.20018
1.0,7,10.232609
0.0,17,10.265537
1.0,42,10.299189
0.0,62,10.3777
1.0,50,10.438269
0.0,23,10.46805
1.0,60,10.516396
1.0,28,10.540156
1.0,42,10.573298
0.0,16,10.600211
1.0,50,10.671511
0.0,12,10.731476
0.0,2,10.796129
0.0,40,10.954134
0.0,4,11.00649
0.0,19,11.139813
1.0,47,11.229793
0.0,86,11.368858
1.0,15,11.412386
1.0,23,11.439263
1.0,119,11.609724
0.0,19,11.639269
0.0,6,11.680254
0.0,20,11.721792
0.0,6,11.759566
0.0,14,11.832667
0.0,2,11.855062
0.0,2,11.889497
0.0,22,11.96327
0.0,27,11.988306
0.0,25,12.018066
0.0,39,12.054107
1.0,28,12.100112
1.0,24,12.116805
1.0,25,12.160146
0.0,2,12.216387
1.0,69,12.269584
0.0,15,12.293746
1.0,41,12.321674
0.0,68,12.38832
1.0,7,12.410216
0.0,25,12.442157
1.0,41,12.481503
0.0,7,12.493679
0.0,46,12.535865
1.0,13,12.553086
1.0,39,12.590473
1.0,66,12.616986
1.0,34,12.648093
0.0,36,12.666526
0.0,51,12.742891
